
"Pull day · Day 1 · Week 2 · New plan";"2026-07-02 7:31 am";"1:38 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;15
2;+15;5
3;+10;7
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;12
2;+15;4
3;+10;5
"3. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;22;9
2;22;9
3;20;12
4;20;12
"4. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;90;9
2;90;7
3;80;11
"5. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;35;14
2;35;11
3;35;11
"6. Shoulder Press · Machine · 10 reps"
#;KG;REPS
1;17.5;12
2;17.5;12
"7. Lateral Raises · Dumbbells · 10 reps"
#;KG;REPS
1;18;14
2;18;12
"8. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;16
2;+0;12
3;+0;13

"Push day · Day 2 · Week 2 · New plan";"2026-06-29 7:29 am";"46 min"
"1. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;8
2;30;6
3;28;7
"2. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;75;13
2;80;9
3;75;11
"3. Standing Calf Raises · Machine · 10 reps"
#;KG;REPS
1;105;12
2;105;11
3;105;9
"4. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;50;12
2;50;10
"5. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+10;6
2;+0;10
"6. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;11
2;50;10
3;45;10
4;45;9

"Leg day · Day 3 · Week 1 · New plan";"2026-06-27 12:09 pm";"1:23 hr"
"1. Squats · Barbell · 8 reps"
#;KG;REPS
1;80;8
2;80;8
3;80;7
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;32;10
2;32;9
3;32;8
"3. Romanian Deadlifts · Barbell · 10 reps"
#;KG;REPS
1;110;7
2;110;6
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;12
2;100;9
"5. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;15
2;120;12
3;120;13
"6. Hip Adduction · Machine · 10 reps"
#;KG;REPS
1;85;15
2;85;13

"Push day · Day 2 · Week 1 · New plan";"2026-06-24 7:24 am";"1:23 hr"
"1. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;8
2;30;7
3;28;6
"2. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;75;12
2;80;9
3;75;10
"3. Standing Calf Raises · Machine · 10 reps"
#;KG;REPS
1;105;12
2;105;10
3;100;9
"4. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;50;12
2;50;10
"5. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;9
"6. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;11
2;50;8
3;45;10
4;45;9

"Pull day · Day 1 · Week 1 · New plan";"2026-06-22 7:18 am";"1:07 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;14
2;+15;5
3;+10;7
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;11
2;+15;4
3;+10;5
"3. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;22;9
2;20;12
3;20;11
4;20;12
"4. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;90;9
2;90;7
3;85;8
"5. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;35;14
2;40;5
3;35;11
"6. Shoulder Press · Machine · 10 reps"
#;KG;REPS
1;15;12
2;15;11
"7. Lateral Raises · Dumbbells · 10 reps"
#;KG;REPS
1;18;14
2;18;12
"8. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;16
2;+0;12
3;+0;13

"Push day · Day 2 · Week 5 · New plan";"2026-06-12 5:43 am";"45 min"
"1. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;8
2;30;6
3;28;7
"2. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;70;15
2;80;10
3;75;10
"3. Standing Calf Raises · Machine · 10 reps"
#;KG;REPS
1;105;11
2;105;10
3;100;9
"4. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;50;12
2;50;10
"5. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;9
2;+0;8
"6. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;11
2;50;8
3;45;9
4;45;9

"Pull day · Day 1 · Week 5 · New plan";"2026-06-11 7:01 am";"22:42 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;14
2;+15;5
3;+10;5
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;11
2;+0;7
3;+0;8
"3. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;16
2;+0;12
3;+0;13
4;+0;12
"4. Shoulder Press · Machine · 10 reps"
#;KG;REPS
1;15;11
2;15;12
3;15;14
"5. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;24;9
2;22;12
3;22;11
4;20;12
"6. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;90;9
2;90;8
3;80;11
"7. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;35;14
2;35;12
3;35;10
"8. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;55;8
2;55;7
3;50;10

"Leg day · Day 3 · Week 5 · New plan";"2026-06-09 7:08 am";"53 min"
"1. Leg Press · Machine · 8 reps"
#;KG;REPS
1;7;14
2;7;13
3;7;11
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;34;7
2;34;5
"3. Romanian Deadlifts · Barbell · 10 reps"
#;KG;REPS
1;110;7
2;110;7
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;12
2;100;9
"5. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;15
2;120;12
3;120;13
"6. Hip Adduction · Machine · 10 reps"
#;KG;REPS
1;100;10
2;100;9

"Push day · Day 2 · Week 4 · New plan";"2026-06-07 12:35 pm";"2:22 hr"
"1. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
"2. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;8
2;30;7
3;28;8
"3. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;80;10
2;80;11
3;75;8
"4. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;90;9
2;90;7
3;85;10
"5. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;9
2;+0;7
"6. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;11
2;50;10
3;50;9
4;45;8

"Pull day · Day 1 · Week 4 · New plan";"2026-06-04 10:15 am";"1:37 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;13
2;+15;5
3;+15;5
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;11
2;+0;8
3;+0;7
"3. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;16
2;+0;15
3;+0;13
4;+0;12
"4. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
4;10
5;10
6;10
"5. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;24;9
2;22;11
3;22;10
4;20;12
"6. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;90;8
2;80;11
3;80;10
"7. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;35;14
2;35;12
3;35;9
"8. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;55;8
2;55;7
3;50;10

"Leg day · Day 3 · Week 4 · New plan";"2026-06-01 7:06 am";"1:16 hr"
"1. Squats · Barbell · 8 reps"
#;KG;REPS
1;80;9
2;90;6
3;100;3
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;32;11
2;32;9
3;32;7
"3. Romanian Deadlifts · Barbell · 10 reps"
#;KG;REPS
1;110;7
2;110;7
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;13
2;100;9
"5. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;15
2;120;13
3;120;13
"6. Hip Adduction · Machine · 10 reps"
#;KG;REPS
1;100;10
2;100;9

"Pull day · Day 1 · Week 3 · New plan";"2026-05-24 11:38 am";"1:29 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;13
2;+15;5
3;+15;5
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;7
"3. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;15
2;+0;15
3;+0;12
4;+0;12
"4. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
4;10
5;10
6;10
"5. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;22;12
2;22;10
3;20;14
4;20;11
"6. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;80;12
2;80;11
3;80;10
"7. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;35;13
2;35;11
3;35;9

"Leg day · Day 3 · Week 3 · New plan";"2026-05-21 7:30 am";"3:27 hr"
"1. Squats · Barbell · 8 reps"
#;KG;REPS
1;100;4
2;90;6
3;90;6
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;34;8
2;34;8
3;34;6
"3. Romanian Deadlifts · Barbell · 10 reps"
#;KG;REPS
1;110;8
2;110;6
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;13
2;105;9
"5. Lying Leg Curls · Machine · 10 reps"
#;KG;REPS
1;70;7
2;65;7
"6. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;14
2;120;13
3;120;13

"Push day · Day 2 · Week 3 · New plan";"2026-05-18 7:12 am";"1:15 hr"
"1. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
"2. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;9
2;30;7
3;28;8
"3. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;80;11
2;80;10
3;75;11
"4. Standing Calf Raises · Machine · 10 reps"
#;KG;REPS
1;105;10
2;105;9
3;100;10
"5. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;9
2;+0;5
"6. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;11
2;50;10
3;50;9
4;45;8

"Pull day · Day 1 · Week 2 · New plan";"2026-05-16 12:13 pm";"1:27 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;13
2;+15;5
3;+15;5
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;8
3;+0;8
"3. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;15
2;+0;15
3;+0;13
4;+0;12
"4. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
4;10
5;10
6;10
"5. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;22;12
2;22;10
3;20;13
4;20;11
"6. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;80;12
2;80;10
3;80;10
"7. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;35;13
2;35;10
3;30;13
"8. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;55;8
2;55;7
3;50;11

"Leg day · Day 3 · Week 2 · New plan";"2026-05-14 11:55 am";"1:14 hr"
"1. Leg Press · Machine · 8 reps"
#;KG;REPS
1;7;15
2;8;11
3;8;10
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;34;8
2;34;7
3;34;6
"3. Romanian Deadlifts · Barbell · 10 reps"
#;KG;REPS
1;100;9
2;100;7
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;13
2;100;9
"5. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;16
2;120;12
3;120;13
"6. Hip Adduction · Machine · 10 reps"
#;KG;REPS
1;100;10
2;100;9

"Push day · Day 2 · Week 2 · New plan";"2026-05-12 7:01 am";"1:14 hr"
"1. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;9
2;30;6
3;28;8
"2. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;80;10
2;75;12
3;75;12
"3. Standing Calf Raises · Machine · 10 reps"
#;KG;REPS
1;105;9
2;105;9
3;100;9
"4. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
"5. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;9
2;+0;9
"6. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;10
2;50;10
3;45;12
4;45;9
"7. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;50;12
2;50;10
3;50;10

"Leg day · Day 3 · Week 1 · New plan";"2026-05-09 12:11 pm";"1:41 hr"
"1. Leg Press · Machine · 8 reps"
#;KG;REPS
1;7;15
2;8;11
3;8;10
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;34;8
2;34;6
3;34;6
"3. Lying Leg Curls · Machine · 10 reps"
#;KG;REPS
1;70;7
2;65;7
3;60;7
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;13
2;100;9
"5. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;16
2;120;12
3;120;13
"6. Hip Adduction · Machine · 10 reps"
#;KG;REPS
1;100;10
2;100;9

"Push day · Day 2 · Week 1 · New plan";"2026-05-08 7:11 am";"1:03 hr"
"1. Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;30;9
2;30;7
3;28;8
"2. Triceps Pushdowns · Cable · 10 reps"
#;KG;REPS
1;80;10
2;75;11
3;75;12
"3. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
"4. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;9
2;+0;9
"5. Overhead Triceps Extensions with Rope · Cable · 10 reps"
#;KG;REPS
1;50;9
2;50;10
3;45;12
4;45;9
"6. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;50;12
2;50;10
3;50;10
"7. Standing Calf Raises · Machine · 10 reps"
#;KG;REPS
1;105;9
2;100;11
3;100;10

"Pull day · Day 1 · Week 1 · New plan";"2026-05-05 6:55 am";"1:32 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;14
2;+15;5
3;+15;5
"2. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;11
2;+0;8
3;+0;8
"3. Hanging Leg Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+0;15
2;+0;12
3;+0;13
4;+0;12
"4. Handstand · Bodyweight · 10 reps"
#;REPS
1;10
2;10
3;10
4;10
5;10
6;10
"5. Seated Curls · Dumbbells · 10 reps"
#;KG;REPS
1;22;12
2;22;8
3;20;12
4;20;10
"6. Seated Calf Raises · Machine · 10 reps"
#;KG;REPS
1;75;13
2;75;11
3;75;11
"7. Overhead Curls · Cable · 10 reps"
#;KG;REPS
1;30;16
2;35;10
3;30;13
"8. Lateral Raises · Machine · 10 reps"
#;KG;REPS
1;50;13
2;50;10
3;50;10

"Leg day · Day 1 · Week 7 · New plan";"2026-05-01 11:51 am";"1:22 hr"
"1. Leg Press · Machine · 8 reps"
#;KG;REPS
1;7;15
2;8;11
3;8;9
"2. Bulgarian Split Squats · Dumbbells · 10 reps"
#;KG;REPS
1;32;12
2;32;10
3;32;9
"3. Lying Leg Curls · Machine · 10 reps"
#;KG;REPS
1;70;6
2;65;6
3;60;6
"4. Leg Extensions · Machine · 6 reps"
#;KG;REPS
1;100;14
2;100;9
"5. Hip Adduction on Multi Hip Machine · Machine · 10 reps"
#;KG;REPS
1;120;16
2;120;14
